CS105,What class are you filling out this survey for? Select all that apply.,What is your current class standing?,Are you a transfer student?,"What is your major/minor? (If your major is not listed, please write it in ""Other.."")",What was the reason (or reasons) you chose CS (CSBA) or DS as your major or minor?,"Have you ever thought about changing your major? If so, what were the reasons? Choose all that apply.",What is your current cumulative GPA?,What is your age?,What is your height (in inches)?,What is your ethnicity?,What gender do you identify as?,Select ALL that you identify with:,How many languages can you speak (not programming languages),What is your preferred domain of interest in Computer Science?,What is your second most preferred domain of interest in Computer Science?,How much free time would you say you have a day on average?,How many hours of strenuous exercise do you do per week on average?,How many times do you go to the gym per week on average?,Rate your overall mental health.,Rate the change in your physical activity levels during the pandemic. ,Which health and safety practices have you adopted during the pandemic? ,How long does it take for you to fall asleep?,"After your last meal/snack of the day, how many hours do you stay awake before you sleep? ",How many hours of sleep do you need to feel rested? ,How many hours of sleep do you get on average during college?,How many meals do you typically eat per day? ,"On average, how much water do you drink per day?",How often do you eat breakfast?,"On average, how would you describe your energy levels throughout the day? ",How tired do you usually feel when waking up?,How often do you consume caffeinated beverages?,What types of caffeinated drink do you consume? Choose all that apply. ,"What is your daily caffeinated drink intake?
(For reference, a ""small"" Red Bull is 8.4oz and ""medium"" Starbucks Grande is 16oz)","Do you currently live in a house, apartment, or dorm?",How many people live in your household?,Who do you live with during the quarter?,Who do you live with during breaks?,How have your social interactions changed during the Covid-19 pandemic?,What forms of new social engagement did you have during the Covid-19 pandemic?,How many hours a week do you spend cooking/prepping meals for yourself?,How many times a week do you eat out?,How much do you spend on eating out per week on average?,"Of these options, which do you spend the most on financially?","On a scale of 1-5, 1 being bad and 5 being great, how well do you consider yourself at cooking?",What food allergies do you have? Choose all that apply: ,"Out of these options, what best motivates you to donate blood (or if it is not included in this list, explain in ""Other"")?","Out of these options, what hinders you the most from donating blood (or if it is not included in this list, explain in ""Other"")?",How do you get to school?,How far is your commute to UCR (in miles)?,How long does your daily commute to UCR usually take (in minutes)?,How many days per week do you commute to UCR?,How many AP classes did you take in high school? ,How many units are you registered for this quarter? ,How many times per week are you late to lectures? ,How often do you feel unprepared for a class due to not understanding the material? ,Do you study individually or in a group? ,How many hours a week do you spend studying?,What study techniques do you use? Choose all that apply.,How often do you feel stressed about completing an assignment?,"How much do you agree with this statement: ""My grades would be better if I could study more instead of having to work?""","On a scale of 1-5, how well do you learn in class?",What would you consider the average length of time you can stay focused in class? ,How often do you go on your phone or talk to your friends during class? ,"How often do you find it difficult to focus in class due to external distractions (e.g., noise, temperature, seating)?",Do you agree that attending office hours has or would have helped your grade? ,How many times have you attended office hours for your hardest class so far this quarter? ,Do you believe that you suffer from imposter syndrome?,How many times have you applied for a job/internship before you got a response back? ,Around what time of the year do you apply to jobs/internships the most?,Which AI tool do you primarily use?,How frequently do you use ChatGPT or other AI language models?,What types of tasks do you normally use ChatGPT or another AI language model to complete?,"On a scale of 1-10, how afraid are you about A.I could reduce your job opportunities? (1 being not afraid at all and 10 being extremely afraid)",What was your main hobby during high school? ,What hobbies/activities outside of general education did you enjoy before you entered college? Choose all that apply.,What hobbies/activities outside of general education do you enjoy now during college? Choose all that apply.,Approximately how many hours a week on average do you spend on these hobbies/this hobby now during college?,How many campus clubs/organizations are you involved in? ,"How many hours a week do you spend on all extracurriculars (work, clubs, research, sports, etc.)? ",Which Computer Science-related extracurricular activities have you participated in? (Select all that apply),"What are your favorite music genres? List them from most favorite to least favorite (e.g. rock, pop, country... put at least 3 genres, but there's no limit).","What does music make you feel like? Your response should be limited to 5 single words separated by commas (e.g. awesome, relaxed, happy, calm, fun).","How much do you go out of your way to find new music? [1 to 5; 1 is ""I am comfortable with my music as is""; 3 is ""I have a 50-50 mix of listening to familiar music and new music""; 5 is ""I mostly listen to new music""]"
10/29/2024 17:32:23,CS105,Junior,No,CS major,"Interest in technology and problem-solving, Enjoyment of coding, programming, and building applications, Strong job prospects and high earning potential","I realized I’m more passionate about another field., The current major isn’t meeting my career goals., I wanted a major that aligns better with my personal values or lifestyle.",3.34 - 3.66,20 - 22,69,Hispanic or Latino,Non-binary,In-State Student,1,Software Engineering,Game Development,<= 3 hours,4 - 5 hours,3 - 4 times,2,5,None,15 - 30 minutes,1 - 3 hours,7 - 8 hours,7 - 8 hours,1,1 - 2 liters (about 34-68 oz),Occasionally (1 - 3 times a week),3,3,Once per day,"Energy drink, soda",12-24 oz (1 - 2 cups),House,6,Friends,Family,Increased slightly,Social media,1 - 2 hours,More than 9 times,More than $40,Groceries/Food,1,No food allergies,money,Nothing,Car,8,15,5 days,0 - 2,18,2 - 3 lectures,Often,Group-study,6 - 10 hours,"Writing notes, Group studying",Somewhat stressed,"N/A, I don't have to work",3,40 - 60 mins,Sometimes,Often,Strongly agree,Never,Moderately,0,Fall,ChatGPT,A couple times a week,Help with Studying,3,gaming,"Gaming, Playing/Doing some kind of sport or martial art","Gaming, Tech and DIY (coding, woodworking, home improvement, electronics), Intellectual Pursuits (reading, puzzles, learning new languages, studying history)",5,3+,0 - 5 hours,"Game Development Clubs/Competitions, Computer Science Club","Shoegaze, rock, pop","awesome, happy, sad, chill",3
10/29/2024 17:36:01,CS111,Junior,No,CS major,"Strong job prospects and high earning potential, One or more of my family members or friends work in this area","N/A, I have never thought about changing my major.",3.34 - 3.66,18 - 20,68,Asian,Male,"Second Generation Student, In-State Student",2 - 3,Game Development,Data Science,4 - 6 hours,More than 5+ hours,3 - 4 times,3,3,"Wearing masks, Social distancing, Vaccination",30 - 45 minutes,3 - 5 hours,8 - 9 hours,7 - 8 hours,2,2 - 3 liters (about 68-102 oz),Never,3,2,Once per week,Energy drink,Less than 12 oz (about 1 cup),House,4,Friends,Family,Decreased significantly,"Virtual meetups, Social media",3 - 4 hours,1 - 2 times,$15 - $20,"Personal items (clothes, cosmetics)",3,No food allergies,"N/A, I don't donate blood",Nothing,Car,4,15,3 - 4 days,3 - 5,13,0 - 1 lectures,Rarely,Group-study,6 - 10 hours,"Reviewing lectures, Writing notes, Group studying",Not very stressed,Agree,3,40 - 60 mins,Often,Rarely,Strongly agree,Weekly to biweekly,Moderately,0,Winter,ChatGPT,A couple times a week,"Help with Studying, Error-finding (spelling, debugging, etc.)",3,Gaming,Gaming,"Reading, Playing/Doing some kind of sport or martial art, Music and Performing Arts (playing instruments, singing, acting, dancing)",10,1,6 - 10 hours,"Coding Competitions, Computer Science Club","Rap, Indie Pop, R&B","relaxed, energetic, calming, happy, content",3
10/29/2024 17:36:36,CS105,Junior,No,Data Science major,"Interest in technology and problem-solving, Fascination with data analysis and decision-making, Strong job prospects and high earning potential, Encouragement or advice from family members, mentors, or educators, One or more of my family members or friends work in this area",I realized I’m more passionate about another field.,3.34 - 3.66,20 - 22,5'11,White,Male,In-State Student,1,"Machine Learning, Data Mining, NLP, AI",Data Science,4 - 6 hours,0 -1 hours,"0, I don't go to the gym",3,1,None,15 - 30 minutes,1 - 3 hours,8 - 9 hours,8 - 9 hours,2,Less than 1 liter (about 34 oz),Rarely (once a month or less),3,2,Multiple times per week,Energy drink,25-48 oz (2 - 4 cups),Apartment,3,Friends,Family,Decreased significantly,Virtual meetups,1 - 2 hours,5 - 6 times,$35 - $40,"Housing (rent/mortgage, utilities)",2,No food allergies,Altruism,Nothing,Walk,1,30,5 days,3 - 5,20,4 - 5 lectures,Rarely,Individually,0 - 5 hours,Writing notes,Somewhat stressed,"N/A, I don't have to work",1,20 - 40 mins,Sometimes,Sometimes,Agree,Seldom,Not At All,1 - 3,Fall,ChatGPT,Everyday,"Personal Use, Error-finding (spelling, debugging, etc.)",1,Reading Books,Gaming,"Gaming, Reading, Tech and DIY (coding, woodworking, home improvement, electronics), Intellectual Pursuits (reading, puzzles, learning new languages, studying history)",60,0,6 - 10 hours,Computer Science Club,"indie pop, rock, pop","relaxed, entertained, happy, calm, fun",5
10/29/2024 17:36:55,CS111,Junior,Yes,CEN or EE major,"N/A, I am neither a CS or DS major/minor",I found the coursework too challenging or overwhelming.,Prefer not to say,20 - 22,65 inches,Hispanic or Latino,Female,"First Generation Student, In-State Student",2 - 3,Not sure,Not sure,4 - 6 hours,0 -1 hours,"0, I don't go to the gym",3,1,"Hand washing, Vaccination",0 - 15 minutes,3 - 5 hours,7 - 8 hours,7 - 8 hours,2,1 - 2 liters (about 34-68 oz),Most days (4 - 6 times a week),3,3,I don't consume them at all,None,0 oz,House,7,Family,Family,Decreased slightly,"Virtual meetups, Social media","0 hours, I don't cook or prep meals",3 - 4 times,$25 - $30,Groceries/Food,3,No food allergies,Altruism,Im iron deficient,Car,16 miles,36 minutes,3 - 4 days,0 - 2,12,0 - 1 lectures,Often,Individually,11 - 15 hours,"Reviewing lectures, Writing notes",Somewhat stressed,Strongly agree,3,20 - 40 mins,Rarely,Often,Agree,Seldom,I'm Not Sure,"N/A, I haven't applied to any jobs/internships","N/A, I haven't applied to any jobs/internships",ChatGPT,Sometimes,"Help with Studying, Personal Use, Error-finding (spelling, debugging, etc.)",10,Art (drawing and painting),"Gaming, Art (Music, Dance, Creative art)","Gaming, Cooking and Baking, Creative Arts (painting, drawing, crafting, photography, writing)",6 hours,0,0 - 5 hours,None - I have not participated in such activities,"J-pop, k-pop, r&b",Relaxed,3
10/29/2024 17:37:26,CS105,Junior,No,Data Science major,"Interest in technology and problem-solving, Fascination with data analysis and decision-making, Enjoyment of coding, programming, and building applications, Strong job prospects and high earning potential","N/A, I have never thought about changing my major.",3.34 - 3.66,20 - 22,69,Asian,Male,First Generation Student,2 - 3,Data Science,Software Engineering,4 - 6 hours,0 -1 hours,"0, I don't go to the gym",4,1,"Wearing masks, Hand washing, Social distancing, Vaccination",30 - 45 minutes,1 - 3 hours,8 - 9 hours,6 - 7 hours,2,1 - 2 liters (about 34-68 oz),Occasionally (1 - 3 times a week),3,3,Multiple times per week,Coffee,12-24 oz (1 - 2 cups),House,5,Friends,Both friends and family,Increased significantly,"Virtual meetups, Social media",5 - 6 hours,3 - 4 times,$35 - $40,Groceries/Food,3,"Tree nuts, Kiwi","N/A, I don't donate blood",Nothing,Car,3,8,3 - 4 days,3 - 5,12,4 - 5 lectures,Often,Individually,6 - 10 hours,"Reviewing lectures, Mind mapping",Somewhat stressed,Strongly agree,3,20 - 40 mins,Sometimes,Never,Neutral,Never,Somewhat,0,"N/A, I haven't applied to any jobs/internships",ChatGPT,Sometimes,Help with Studying,3,Web development/App Design,"Gaming, Art (Music, Dance, Creative art)","Reading, Tech and DIY (coding, woodworking, home improvement, electronics)",5,2,11 - 15 hours,"Coding Competitions, Computer Science Club",NA,NA,1
10/29/2024 17:47:58,CS111,Junior,Yes,CS major,One or more of my family members or friends work in this area,I wanted a major that aligns better with my personal values or lifestyle.,2.50 - 2.99,24 - 26,68,Asian,Female,First Generation Student,2 - 3,"Machine Learning, Data Mining, NLP, AI",Software Engineering,<= 3 hours,2 - 3 hours,3 - 4 times,2,4,"Wearing masks, Hand washing, Social distancing, Vaccination",15 - 30 minutes,1 - 3 hours,9 - 10 hours,5 - 6 hours,2,3 - 4 liters (about 102-135 oz),Rarely (once a month or less),2,2,Once per day,Tea,Less than 12 oz (about 1 cup),Apartment,2,Family,Family,Decreased slightly,Virtual meetups,5 - 6 hours,1 - 2 times,$25 - $30,"Housing (rent/mortgage, utilities)",3,No food allergies,"N/A, I don't donate blood",Fear of contracting a disease,Car,56,65,3 - 4 days,0 - 2,17,0 - 1 lectures,Often,Individually,20+ hours,"Reviewing lectures, Writing notes, Mind mapping",Very stressed,Strongly agree,4,40 - 60 mins,Rarely,Often,Agree,Seldom,Moderately,7 or more,Fall,ChatGPT,A couple times a week,"Help with Studying, Personal Use, Error-finding (spelling, debugging, etc.), Research-related cases, Summarizing an assignment (break down concepts, outline problems, etc.)",3,Solving logic puzzles,Reading,Cooking and Baking,2,1,0 - 5 hours,None - I have not participated in such activities,"R&B, pop and Jazz",background noise,4
10/29/2024 17:48:18,CS105,Senior,No,"Neuroscience major, DS minor","Interest in technology and problem-solving, Fascination with data analysis and decision-making, Strong job prospects and high earning potential","N/A, I have never thought about changing my major.",3.67 - 4.0,20 - 22,61,Asian,Female,In-State Student,2 - 3,"Machine Learning, Data Mining, NLP, AI",Algorithms,<= 3 hours,4 - 5 hours,"0, I don't go to the gym",3,1,"Wearing masks, Hand washing, Social distancing, Vaccination",15 - 30 minutes,1 - 3 hours,6 - 7 hours,5 - 6 hours,2,2 - 3 liters (about 68-102 oz),Rarely (once a month or less),3,2,Once per week,"Tea, Coffee",Less than 12 oz (about 1 cup),House,5,Friends,Family,No change,"Virtual meetups, Social media, Outdoor activities","0 hours, I don't cook or prep meals",5 - 6 times,More than $40,"Housing (rent/mortgage, utilities)",1,No food allergies,"N/A, I don't donate blood",Nothing,Car,4.6,13,More than 5 days (Weekend classes/clubs/meetings),More than 8,15,0 - 1 lectures,Rarely,Individually,11 - 15 hours,"Reviewing lectures, Writing notes, Pomodoro, Mind mapping",Somewhat stressed,Strongly agree,3,40 - 60 mins,Sometimes,Sometimes,Strongly agree,More than once a week,Somewhat,0,Fall,ChatGPT,Everyday,"Help with Studying, Personal Use, Error-finding (spelling, debugging, etc.), Summarizing an assignment (break down concepts, outline problems, etc.)",2,Art (drawing and painting),"Reading, Playing/Doing some kind of sport or martial art, Art (Music, Dance, Creative art)","Intellectual Pursuits (reading, puzzles, learning new languages, studying history)",2,2,20+ hours,Tech-related volunteer work or internships,"Rap, Pop","Calm, relaxed",3
10/29/2024 17:50:44,CS111,Junior,No,CS major,"Interest in technology and problem-solving, Enjoyment of coding, programming, and building applications, Strong job prospects and high earning potential","N/A, I have never thought about changing my major.",3.67 - 4.0,18 - 20,69,Asian,Male,"Second Generation Student, In-State Student",3 - 5,Software Engineering,Cybersecurity,7 - 10 hours,0 -1 hours,"0, I don't go to the gym",5,1,"Wearing masks, Hand washing, Social distancing, Vaccination",0 - 15 minutes,3 - 5 hours,9 - 10 hours,8 - 9 hours,3,Less than 1 liter (about 34 oz),Most days (4 - 6 times a week),5,3,I don't consume them at all,None,0 oz,Dorm,4,Friends,Family,Decreased significantly,None,1 - 2 hours,"0 times, I don't eat out","$0, I don't eat out","Housing (rent/mortgage, utilities)",3,No food allergies,"N/A, I don't donate blood",Fear of needles,Walk,0.2,10,0 days (I do not commute to school),More than 8,17,2 - 3 lectures,Often,Individually,0 - 5 hours,Writing notes,Not very stressed,"N/A, I don't have to work",4,20 - 40 mins,Rarely,Rarely,Agree,Occasionally,I'm Not Sure,4 - 6,Summer,ChatGPT,Everyday,"Assignments, Help with Studying, Personal Use, Error-finding (spelling, debugging, etc.), Research-related cases, Summarizing an assignment (break down concepts, outline problems, etc.)",10,Reading Books,Reading,"Gaming, Tech and DIY (coding, woodworking, home improvement, electronics)",1,1,0 - 5 hours,"Coding Competitions, Computer Science Club, Tech-related volunteer work or internships","rap, pop, rock","awesome, relaxed, happy, calm, fun",3
10/29/2024 18:07:15,CS111,Junior,No,Robotics ,"N/A, I am neither a CS or DS major/minor","I realized I’m more passionate about another field., I wanted a major that aligns better with my personal values or lifestyle.",3.67 - 4.0,18 - 20,63,Asian,Female,"Second Generation Student, In-State Student",2 - 3,"Machine Learning, Data Mining, NLP, AI",Not sure,4 - 6 hours,2 - 3 hours,1 - 2 times,2,3,"Wearing masks, Hand washing, Social distancing, Vaccination",15 - 30 minutes,1 - 3 hours,7 - 8 hours,7 - 8 hours,3,1 - 2 liters (about 34-68 oz),Every day,4,2,Once per week,Tea,Less than 12 oz (about 1 cup),Apartment,4,Neither,Family,Increased slightly,"Virtual meetups, Outdoor activities",5 - 6 hours,1 - 2 times,$5 - $10,Groceries/Food,4,No food allergies,"N/A, I don't donate blood",Fear of contracting a disease,Walk,1,15,0 days (I do not commute to school),6 - 8,17,0 - 1 lectures,Rarely,Individually,6 - 10 hours,"Reviewing lectures, Writing notes",Somewhat stressed,Disagree,3,40 - 60 mins,Sometimes,Never,Agree,More than once a week,Moderately,"N/A, I haven't applied to any jobs/internships",Fall,ChatGPT,Everyday,"Assignments, Error-finding (spelling, debugging, etc.), Summarizing an assignment (break down concepts, outline problems, etc.)",1,Playing musical instruments,"Gaming, Reading, Playing/Doing some kind of sport or martial art, Art (Music, Dance, Creative art)","Cooking and Baking, Music and Performing Arts (playing instruments, singing, acting, dancing)",7,1,11 - 15 hours,"Coding Competitions, Robotics Competitions","ambient, chillsynth, pop","relaxed, happy, excitement",3
10/29/2024 18:12:57,CS111,Junior,No,CS major,"Interest in technology and problem-solving, Fascination with data analysis and decision-making, Enjoyment of coding, programming, and building applications, Strong job prospects and high earning potential","I found the coursework too challenging or overwhelming., N/A, I have never thought about changing my major.",Prefer not to say,20 - 22,68,Asian,Male,In-State Student,3 - 5,Software Engineering,Algorithms,<= 3 hours,More than 5+ hours,5 - 6 times,4,3,"Wearing masks, Hand washing, Social distancing, Vaccination",30 - 45 minutes,1 - 3 hours,5 - 6 hours,6 - 7 hours,3,2 - 3 liters (about 68-102 oz),Every day,4,3,I don't consume them at all,"Tea, Energy drink",Less than 12 oz (about 1 cup),Apartment,4,Roomates,Family,Increased significantly,"Virtual meetups, Social media, Outdoor activities",1 - 2 hours,5 - 6 times,I am not sure.,Groceries/Food,3,"Shellfish, Peanuts",Incentives,Inconvenience of locations,Walk,0.25,7-10,0 days (I do not commute to school),3 - 5,20,0 - 1 lectures,Rarely,Individually,11 - 15 hours,"Reviewing lectures, Writing notes, Group studying",Somewhat stressed,Agree,4,60 - 80 mins,Never,Sometimes,Strongly agree,Occasionally,Not At All,7 or more,Summer,ChatGPT,Rarely/Never,"Assignments, Help with Studying, Personal Use, Summarizing an assignment (break down concepts, outline problems, etc.)",6,Web development/App Design,"Gaming, Cooking, Playing/Doing some kind of sport or martial art, Art (Music, Dance, Creative art)","Gaming, Cooking and Baking, Playing/Doing some kind of sport or martial art, Creative Arts (painting, drawing, crafting, photography, writing), Music and Performing Arts (playing instruments, singing, acting, dancing), Tech and DIY (coding, woodworking, home improvement, electronics), Intellectual Pursuits (reading, puzzles, learning new languages, studying history)",5-10,3+,16 - 20 hours,"Coding Competitions, Game Development Clubs/Competitions, Computer Science Club, Tech-related volunteer work or internships","Bollywood, Punjabi, Rap","relaxed, connected, happy, calm, emotional",4
10/29/2024 18:21:43,CS105,Junior,No,Business/DataScience minor,"Interest in technology and problem-solving, Fascination with data analysis and decision-making, Strong job prospects and high earning potential","N/A, I have never thought about changing my major.",3.34 - 3.66,18 - 20,6'2,Asian,Male,First Generation Student,2 - 3,Data Science,Game Development,<= 3 hours,2 - 3 hours,5 - 6 times,3,1,"Wearing masks, Hand washing, Social distancing, Vaccination",0 - 15 minutes,1 - 3 hours,7 - 8 hours,5 - 6 hours,3,3 - 4 liters (about 102-135 oz),Most days (4 - 6 times a week),4,3,Once per day,"Energy drink, Matcha",12-24 oz (1 - 2 cups),Apartment,4,Friends,Family,Increased significantly,"Virtual meetups, Social media",1 - 2 hours,1 - 2 times,I am not sure.,"Housing (rent/mortgage, utilities)",4,No food allergies,Incentives,Fear of contracting a disease,Walk,1,23,5 days,0 - 2,17,0 - 1 lectures,Often,Individually,11 - 15 hours,"Reviewing lectures, Writing notes",Somewhat stressed,"N/A, I don't have to work",3,40 - 60 mins,Rarely,Often,Agree,Occasionally,Moderately,4 - 6,Fall,ChatGPT,Everyday,"Assignments, Help with Studying, Personal Use, Error-finding (spelling, debugging, etc.), Summarizing an assignment (break down concepts, outline problems, etc.)",1,Video Games,"Gaming, Playing/Doing some kind of sport or martial art","Gaming, Cooking and Baking, Playing/Doing some kind of sport or martial art",20,2,0 - 5 hours,None - I have not participated in such activities,"rap, pop, hip-hop, rnb, melodic","focused, motivated, happy, sad, alive",3
10/29/2024 18:23:53,CS111,Sophomore,No,CS major,Strong job prospects and high earning potential,"I realized I’m more passionate about another field., The current major isn’t meeting my career goals.",3.67 - 4.0,18 - 20,5,Prefer not to say,Female,In-State Student,2 - 3,Not sure,Not sure,<= 3 hours,0 -1 hours,"0, I don't go to the gym",3,3,"Wearing masks, Hand washing, Social distancing, Vaccination",15 - 30 minutes,3 - 5 hours,8 - 9 hours,6 - 7 hours,2,Less than 1 liter (about 34 oz),Rarely (once a month or less),3,2,Once per day,Coffee,12-24 oz (1 - 2 cups),Apartment,7,Family,Family,No change,None,"0 hours, I don't cook or prep meals",1 - 2 times,$15 - $20,Groceries/Food,1,No food allergies,"N/A, I don't donate blood",Nothing,Car,10,30,5 days,0 - 2,16,0 - 1 lectures,Very often,Individually,0 - 5 hours,"Reviewing lectures, Writing notes",Somewhat stressed,"N/A, I don't have to work",2,20 - 40 mins,Sometimes,Rarely,Agree,Seldom,Strongly,0,"N/A, I haven't applied to any jobs/internships",ChatGPT,A couple times a week,Personal Use,7,Reading Books,"Reading, Knitting/Sewing, engaging in some kind of handmade craft",Reading,2-3,1,0 - 5 hours,None - I have not participated in such activities,Only pop,Calm,1
10/29/2024 18:27:08,CS111,Junior,No,CS major,"Enjoyment of coding, programming, and building applications, Strong job prospects and high earning potential, Encouragement or advice from family members, mentors, or educators","N/A, I have never thought about changing my major.",3.00 - 3.33,20 - 22,6'1,Black,Male,"Second Generation Student, In-State Student",2 - 3,Software Engineering,"Machine Learning, Data Mining, NLP, AI",4 - 6 hours,More than 5+ hours,5 - 6 times,2,1,"Wearing masks, Hand washing, Social distancing, Vaccination",30 - 45 minutes,1 - 3 hours,8 - 9 hours,7 - 8 hours,2,More than 4 liters (about 135 oz),Every day,3,4,once in a blue moon if i dont get enough sleep,"Tea, Coffee, Energy drink",0 oz,Apartment,4 including me,Friends,Family,Decreased significantly,"Social media, Outdoor activities",5 - 6 hours,1 - 2 times,$15 - $20,Groceries/Food,4,No food allergies,"N/A, I don't donate blood",Nothing,Scooter,0,0,0 days (I do not commute to school),More than 8,17,4 - 5 lectures,Very often,Group-study,0 - 5 hours,"Reviewing lectures, Writing notes, Group studying",Somewhat stressed,"N/A, I don't have to work",3,20 - 40 mins,Often,Rarely,Neutral,Never,Somewhat,7 or more,Fall,ChatGPT,A couple times a week,"Assignments, Help with Studying",8,video games,"Gaming, Playing/Doing some kind of sport or martial art",Playing/Doing some kind of sport or martial art,15,3+,20+ hours,Computer Science Club,"hip hop, pop, country",Depends on the mood I'm in,2
10/29/2024 18:28:39,CS105,Graduate,Yes,Data Science major,"Enjoyment of coding, programming, and building applications, Strong job prospects and high earning potential",I wanted a major that aligns better with my personal values or lifestyle.,2.50 - 2.99,20 - 22,69,Asian,Male,First Generation Student,2 - 3,Data Science,Game Development,<= 3 hours,0 -1 hours,"0, I don't go to the gym",2,2,"Wearing masks, Hand washing",30 - 45 minutes,3 - 5 hours,9 - 10 hours,5 - 6 hours,2,2 - 3 liters (about 68-102 oz),Most days (4 - 6 times a week),2,2,once every 2 days,"Tea, Energy drink, Soda",Less than 12 oz (about 1 cup),House,4,Family,Family,Decreased slightly,"Virtual meetups, Social media, Outdoor activities","0 hours, I don't cook or prep meals",3 - 4 times,$35 - $40,"Transportation (gas, car maintenance, public transit)",2,No food allergies,Incentives,Nothing,Car,45,50,5 days,0 - 2,14,0 - 1 lectures,Very often,Individually,0 - 5 hours,"Reviewing lectures, Writing notes, None, reviewing homework and quizzes",Very stressed,Strongly agree,2,0 - 20 mins,Sometimes,Rarely,Neutral,Never,Moderately,7 or more,Summer,ChatGPT,A couple times a week,"Help with Studying, Personal Use, Research-related cases, Summarizing an assignment (break down concepts, outline problems, etc.)",6,Playing musical instruments,"Gaming, Reading","Gaming, Reading, Creative Arts (painting, drawing, crafting, photography, writing)",5,0,6 - 10 hours,None - I have not participated in such activities,"Rock, Pop, Jazz, Bossa Nova, Classical","relaxed, fun",2
10/29/2024 18:29:22,CS111,Junior,No,CS major,"Interest in technology and problem-solving, Fascination with data analysis and decision-making, Enjoyment of coding, programming, and building applications, Strong job prospects and high earning potential","N/A, I have never thought about changing my major.",3.00 - 3.33,20 - 22,5.7,Hispanic or Latino,Male,International Student,2 - 3,"Machine Learning, Data Mining, NLP, AI",Data Science,4 - 6 hours,More than 5+ hours,5 - 6 times,5,5,Vaccination,15 - 30 minutes,1 - 3 hours,8 - 9 hours,7 - 8 hours,More than 3,2 - 3 liters (about 68-102 oz),Every day,4,3,Multiple times per week,"Tea, Coffee",Less than 12 oz (about 1 cup),Apartment,4,Friends,Both friends and family,Increased slightly,None,5 - 6 hours,1 - 2 times,$15 - $20,"Housing (rent/mortgage, utilities)",5,No food allergies,Incentives,Inconvenience of locations,Walk,1,15,5 days,6 - 8,16,2 - 3 lectures,Often,Individually,11 - 15 hours,"Reviewing lectures, Writing notes",Somewhat stressed,Agree,3,40 - 60 mins,Often,Rarely,Agree,Occasionally,Somewhat,4 - 6,Winter,ChatGPT,Everyday,"Assignments, Help with Studying, Error-finding (spelling, debugging, etc.)",2,Reading Books,"Reading, Playing/Doing some kind of sport or martial art","Cooking and Baking, Playing/Doing some kind of sport or martial art, Tech and DIY (coding, woodworking, home improvement, electronics)",10,1,16 - 20 hours,"Computer Science Club, Tech-related volunteer work or internships","Hip Hop, trap, pop","hyped, nostalgic, happy",2
10/29/2024 18:29:55,CS111,Senior,No,CSBA major,"Strong job prospects and high earning potential, Encouragement or advice from family members, mentors, or educators, Pressure from family members, One or more of my family members or friends work in this area","N/A, I have never thought about changing my major.",Prefer not to say,Prefer not to say,70,Prefer not to say,Prefer not to say,In-State Student,1,Game Development,Not sure,<= 3 hours,Prefer not to say,"0, I don't go to the gym",3,3,"Wearing masks, Hand washing, Social distancing, Vaccination",15 - 30 minutes,5 - 8 hours,8 - 9 hours,6 - 7 hours,2,1 - 2 liters (about 34-68 oz),Every day,3,3,I don't consume them at all,None,0 oz,Prefer not to say,4,Prefer not to say,Prefer not to say,No change,None,1 - 2 hours,"0 times, I don't eat out","$0, I don't eat out","Transportation (gas, car maintenance, public transit)",3,No food allergies,"N/A, I don't donate blood",Fear of needles,Car,7,18,5 days,6 - 8,13,2 - 3 lectures,Rarely,Individually,11 - 15 hours,"Reviewing lectures, Writing notes",Very stressed,"N/A, I don't have to work",3,20 - 40 mins,Rarely,Rarely,Agree,More than once a week,I'm Not Sure,"N/A, I haven't applied to any jobs/internships","N/A, I haven't applied to any jobs/internships",None; I don’t use any AI tools,Prefer not to say,"N/A, I don't use AI LLMs",8,Reading Books,"Gaming, Reading","Gaming, Reading",2,1,0 - 5 hours,None - I have not participated in such activities,anything,anything ,3
10/29/2024 18:40:41,CS111,Junior,No,CSBA major,"Enjoyment of coding, programming, and building applications, Encouragement or advice from family members, mentors, or educators","I realized I’m more passionate about another field., I found the coursework too challenging or overwhelming.",3.67 - 4.0,20 - 22,59,Asian,Female,"First Generation Student, In-State Student",2 - 3,Not sure,Not sure,4 - 6 hours,0 -1 hours,"0, I don't go to the gym",2,2,Wearing masks,45 - 60 minutes,1 - 3 hours,7 - 8 hours,5 - 6 hours,2,1 - 2 liters (about 34-68 oz),Occasionally (1 - 3 times a week),3,2,Once per week,"Tea, Coffee",Less than 12 oz (about 1 cup),Apartment,3,Friends,Family,Decreased slightly,Virtual meetups,3 - 4 hours,1 - 2 times,$25 - $30,"Housing (rent/mortgage, utilities)",3,certain fruits,"N/A, I don't donate blood",Fear of needles,Walk,0.5,10,5 days,3 - 5,12,2 - 3 lectures,Very often,Individually,11 - 15 hours,"Reviewing lectures, Writing notes, Group studying",Somewhat stressed,Strongly Disagree,4,20 - 40 mins,Sometimes,Often,Agree,Weekly to biweekly,Somewhat,"N/A, I haven't applied to any jobs/internships","N/A, I haven't applied to any jobs/internships",ChatGPT,Sometimes,Help with Studying,8,family activities ,spending time with family ,spending time with friends,4,1,0 - 5 hours,Coding Competitions,"pop, r&b, country","relaxed, stress-free",3
